id,parent_id,root
cqugabm,cqturz9,cqturz9
cqugac0,cqtsvvl,cqtsvvl
cqugacd,34fzud,34fzud
cqugacu,cqug921,cqug6hk
cqugacz,cqu91tl,cqu91tl
cqugad4,34douw,34douw
cqugad5,cqubxff,cqubxff
cqugad6,34ffo5,34ffo5
cqugada,cqug9sh,cqug7tg
cqugadh,34dvbd,34dvbd
cqugadi,cqudcg5,cqudcg5
cqugae2,34gmv6,34gmv6
cqugae8,cqug3p9,cqug3p9
cqugae9,cqufw4w,cqufw4w
cqugaeh,cqudihe,cqudihe
cqugaep,cqufet1,cqufet1
cqugaeu,34ffo5,34ffo5
cqugaf3,cqtpme7,cqtpme7
cqugaf9,34g8nu,34g8nu
cqugaff,cqubwv9,cqubwv9
cqugafn,cqu8epb,cqu8epb
cqugag2,34ds4p,34ds4p
cqugagj,cqufuqc,cqufuqc
cqugagq,cqudluw,cqudluw
cqugagv,34glpr,34glpr
cqugagy,cqug54b,cqug54b
cqugahc,cqtsxvh,cqtsxvh
cqugahd,34ffhl,34ffhl
cqugahf,cqufh8n,cqufh8n
cqugahx,cqu4xsr,cqu4xsr
cqugai0,34gmrb,34gmrb
cqugaij,cqudka0,cqudka0
cqugaj6,cquf5bg,cquf5bg
cqugak9,cqu6wif,cqu6wif
cqugakn,34drvm,34drvm
cqugakr,34gijr,34gijr
cqugalg,34gm1b,34gm1b
cqugalj,cqu2v3v,cqu2v3v
cqugam1,cquavoj,cquavoj
cqugamd,cqug7bf,cqug7bf
cqugami,34g7ou,34g7ou
cqugamz,cquaz6y,cquaz6y
cqugan0,34gmed,34gmed
cqugan3,34ffo5,34ffo5
cquganz,cqu5xf6,cqu5xf6
cqugao3,cqsqq9j,cqsqq9j
cqugaoq,34ffo5,34ffo5
cqugaot,34ffo5,34ffo5
cqugaov,cqtug7s,cqtug7s
cqugap2,cqu66nk,cqu66nk
cqugap8,cqu9exx,cqu9exx
cqugapa,cqug8s8,cqug8s8
cqugaq0,cqts4y5,cqts4y5
cqugaqc,34gmrb,34gmrb
cqugaqv,cquezh4,cquezh4
cqugara,cqtujag,cqtujag
cqugarg,cqualng,cqualng
cqugarj,34glg2,34glg2
cqugary,cqu4jby,cqu4jby
cqugas9,cqubl0t,cqubl0t
cqugasj,34ffo5,34ffo5
cqugast,cqudcg5,cqudcg5
cqugasy,34gmev,34gmev
cqugat3,34gku4,34gku4
cqugat8,34gj8f,34gj8f
cqugata,cqudcqk,cqudcqk
cqugau3,cqufsax,cqufsax
cqugaug,cqu5s15,cqu5s15
cqugauj,cqugada,cqug7tg
cqugavl,cqug9af,cqug87u
cqugavy,cqu9t42,cqu9t42
cqugawb,cqu3092,cqu3092
cqugawp,34ft7i,34ft7i
cqugaxl,cqtvn89,cqtvn89
cqugaxt,cqug9af,cqug87u
cqugaxw,cqubrsm,cqubrsm
cqugayb,cqued2n,cqued2n
cqugayf,34fmrc,34fmrc
cqugazn,34ffhl,34ffhl
cqugazq,34ft7i,34ft7i
cqugazv,34gmys,34gmys
cqugazz,cqts3fo,cqts3fo
cqugb0k,34gh94,34gh94
cqugb0t,cqufnm3,cqufnm3
cqugb0v,34ft7i,34ft7i
cqugb1t,34gmmd,34gmmd
cqugb29,34gh94,34gh94
cqugb2t,cqu91bk,cqu91bk
cqugb2v,cqug9zq,cqug6tp
cqugb32,34gjld,34gjld
cqugb34,cqug00o,cqug00o
cqugb4g,cqu0uph,cqu0uph
cqugb4j,cqug5fw,cqug5fw
cqugb4q,cqu8wtz,cqu8wtz
cqugb4z,cquga9a,cqug6r6
cqugb5f,cqudst6,cqudst6
cqugb5x,34glon,34glon
cqugb6i,cqudrvf,cqudrvf
cqugb6k,34ft7i,34ft7i
cqugb6s,cqubg30,cqubg30
cqugb6z,34gmug,34gmug
cqugb79,34gmv6,34gmv6
cqugb7b,34gete,34gete
cqugb7n,34gm0l,34gm0l
cqugb7x,34f8z7,34f8z7
cqugb7y,cqufzns,cqufzns
cqugb89,34ffhl,34ffhl
cqugb8i,cqug7bs,cqug7bs
cqugb8p,34ffhl,34ffhl
cqugb92,cqufup2,cqufup2
cqugb9u,34gn25,34gn25
cqugba5,34ffhl,34ffhl
cqugbae,cqub7mq,cqub7mq
cqugbal,cqufvd1,cqufvd1
cqugbao,34g8nu,34g8nu
cqugbas,34gmv3,34gmv3
cqugbb3,cqt25s0,cqt25s0
cqugbbh,cqug06b,cqug06b
cqugbbj,cque35x,cque35x
cqugbbx,cqtnv6d,cqtnv6d
cqugbd0,cqubi7o,cqubi7o
cqugbdf,cqug7pr,cqug7pr
cqugbdh,34gh68,34gh68
cqugbdv,cqtp01u,cqtp01u
cqugbf8,cquf2e8,cquf2e8
cqugbf9,cque3v9,cque3v9
cqugbfe,34ft7i,34ft7i
cqugbff,cqu7mrb,cqu7mrb
cqugbfk,34fvry,34fvry
cqugbfo,cqugauj,cqug7tg
cqugbfr,cqu5oty,cqu5oty
cqugbg7,cqudcl4,cqudcl4
cqugbgb,34gmys,34gmys
cqugbge,cque69x,cque69x
cqugbgu,cqufklz,cqufklz
cqugbgx,cqufd1b,cqufd1b
cqugbh0,34ft7i,34ft7i
cqugbh6,34ffo5,34ffo5
cqugbhe,cqug8z4,cqug8z4
cqugbhf,cqub90c,cqub90c
cqugbhm,cqudi6p,cqudi6p
cqugbi8,34gfpt,34gfpt
cqugbi9,34g8nu,34g8nu
cqugbib,cqufqsd,cqufqsd
cqugbim,cqudjmg,cqudjmg
cqugbir,cquetp5,cquetp5
cqugbiv,cquc5pq,cquc5pq
cqugbiw,cqug39f,cqug39f
cqugbjc,34f9rh,34f9rh
cqugbjm,cqufv8c,cqufv8c
cqugbk7,cqu737c,cqu737c
cqugbkd,cqugb4z,cqug6r6
cqugbkh,34f9rh,34f9rh
cqugbky,34glpr,34glpr
cqugbl3,34gm28,34gm28
cqugbl7,cquffrz,cquffrz
cqugbl9,cqubxff,cqubxff
cqugbld,34glji,34glji
cqugbm1,cqueqg5,cqueqg5
cqugbm6,cqufxvn,cqufxvn
cqugbmu,34gf7q,34gf7q
cqugbmv,cqtqkv7,cqtqkv7
cqugbnl,cquftyr,cquftyr
cqugbns,cqufovl,cqufovl
cqugbnx,cqu3t25,cqu3t25
cqugbo1,cquccmk,cquccmk
cqugbo2,34glpr,34glpr
cqugbob,34dvbd,34dvbd
cqugbod,34ffo5,34ffo5
cqugbos,cqu8kqt,cqu8kqt
cqugbp0,34fhdk,34fhdk
cqugbp5,34ffo5,34ffo5
cqugbpm,cqug70j,cqug70j
cqugbqb,34ffhl,34ffhl
cqugbqn,cqug86h,cqug86h
cqugbqo,34fqlh,34fqlh
cqugbro,cqufm2p,cqufm2p
cqugbs2,cqubazm,cqubazm
cqugbs8,cqu5icz,cqu5icz
cqugbsl,cqu5icz,cqu5icz
cqugbsv,34douw,34douw
cqugbti,cqu6u6t,cqu6u6t
cqugbtt,34gfmb,34gfmb
cqugbtx,cqu8t0y,cqu8t0y
cqugbuq,cqu7la4,cqu7la4
cqugbvl,34gc1q,34gc1q
cqugbvm,cqubkow,cqubkow
cqugbvn,34c405,34c405
cqugbvt,34glpr,34glpr
cqugbw0,34gh6p,34gh6p
cqugbw2,cque9wo,cque9wo
cqugbwe,34fwho,34fwho
cqugbwx,cquezcc,cquezcc
cqugbx5,34gmrb,34gmrb
cqugbyw,cqu8iot,cqu8iot
cqugbz8,34gfvv,34gfvv
cqugbzi,cqudz46,cqudz46
cqugc00,cqugbfo,cqug7tg
cqugc02,cqts9p6,cqts9p6
cqugc0d,cqubwud,cqubwud
cqugc0x,cqu53rz,cqu53rz
cqugc11,cqtkh37,cqtkh37
cqugc16,cqug1s4,cqug1s4
cqugc1c,cqufgb7,cqufgb7
cqugc1d,cqufzhc,cqufzhc
cqugc1g,cqu7sby,cqu7sby
cqugc1u,cqugavl,cqug87u
cqugc1v,cqtsm1a,cqtsm1a
cqugc29,cqtrvnb,cqtrvnb
cqugc2d,cqufwnm,cqufwnm
cqugc2p,34fsrh,34fsrh
cqugc3f,34gn25,34gn25
cqugc3g,cque4ti,cque4ti
cqugc43,cqufxxy,cqufxxy
cqugc4n,cqufqhi,cqufqhi
cqugc55,34drvm,34drvm
cqugc56,cqufvqs,cqufvqs
cqugc5a,34gloa,34gloa
cqugc5v,cqudpc9,cqudpc9
cqugc63,34ffcf,34ffcf
cqugc64,cqu4x4z,cqu4x4z
cqugc67,34fnhg,34fnhg
cqugc6a,34glzy,34glzy
cqugc6d,34fvry,34fvry
cqugc6f,34f9rh,34f9rh
cqugc6i,34gmvf,34gmvf
cqugc6j,34gkl2,34gkl2
cqugc6m,cqts0uu,cqts0uu
cqugc73,cqtv811,cqtv811
cqugc7d,cqugbfo,cqug7tg
cqugc7e,cqug6sp,cqug6sp
cqugc7g,34ffo5,34ffo5
cqugc7m,cqud2nq,cqud2nq
cqugc7o,cqu5yu8,cqu5yu8
cqugc7t,34gmuf,34gmuf
cqugc8f,34ghm5,34ghm5
cqugc8p,34fek0,34fek0
cqugc8v,34g86h,34g86h
cqugc8x,cqtqkqj,cqtqkqj
cqugc93,cqtu3te,cqtu3te
cqugc97,cque20p,cque20p
cqugc9d,cquau0o,cquau0o
cqugc9g,cqufet1,cqufet1
cqugc9p,34ft7i,34ft7i
cqugca0,cqu9p5g,cqu9p5g
cqugcam,cqu69dz,cqu69dz
cqugcb9,cqu8kc9,cqu8kc9
cqugcbd,cqu767y,cqu767y
cqugcbj,cqu5wrw,cqu5wrw
cqugcbo,34ffo5,34ffo5
cqugcc7,cqueydr,cqueydr
cqugcca,cqtywdw,cqtywdw
cqugccj,cquej55,cquej55
cqugccs,cqug0ot,cqug0ot
cqugcct,34drvm,34drvm
cqugccy,34ffo5,34ffo5
cqugcdf,cqug18b,cqug18b
cqugce4,cqtumc8,cqtumc8
cqugcei,34gn0o,34gn0o
